RATE,Role,Seniority,Location,Years,Company,Gender,Union
$1350/week,Character Designer ,Mid ,Vancouver ,7,,Male,No 
26 USD/hr ,Character designer ,Junior ,Atlanta GA,2,Floyd County Productions ,Female,No
"USD $1,527/ week after taxes",Character Designer ,Entry,Los Angeles,10,Nickelodeon Animation,Male,Tag 839
40000-50000,Character designer and concept artist,Mid,Germany ,44624,Freelance,Female,Illustratorenorganisation
100 USD/hr,Character designer for toys ,Medium ,Atlanta GA ,5,Spinmaster toys ,Female,No
from 5000 - 8000 Euro/month,"Character designer, background artist, illustrator",Mid,Italy,10 years character design / 5 years BG artist,Freelance,Female,No
"$1500 AUD per week, plus superannuation and benefits.",Character Layout Artist,Senior,"Adelaide, Australia",5,,Male,No
€ 2800 a month (before taxes),Character layout artist,mid,Ireland,5,Cartoon Saloon,Female,not yet
"£56,000",Character Modeler ,Senior,United Kingdom,10+,DNEG,Male,No
30/hr ,Character Rig and Physics Artist,Mid level,Berkeley,2,Halon Entertainment,Male,Nope
$38 per hour,Character Rigging,"Never given, should be a mid but I think I’m considered a junior because of the proprietary software","Los Angeles, CA",4,,Female,Animation Guild
"94,000 AUD",Character TD,,Australia,5,,Female,
80000 AUD,Character TD,Mid,Sydney,4,Animal Logic,Female,No
35000 pounds,Character TD/Rigging Artist,Mid level,Glasgow,5,,Male,No
150 euro a day before taxes,Character/props designer,Middle,Paris France,7years,,Female,no
130.000 USD,Cinematic animator,Mid,Los Angeles,14,Blizzard Entertainment,Male,No
$72-82k USD (Bonus Included),Cinematic Animator,Mid,Remote,4,Blizzard Entertainment,Male,No
"RM54000 per year, $12904.77 USD",Cinematic Animator,Junior,Malaysia,4,,Female,No
120000 Cad,Cinematic Layout Artist ,Senior ,Vancouver ,15,FrameMachine,Male,No 
26000 €/ year,Cinematics 3d Animator,Senior,"Madrid, Spain",5,Mercury steam,Male,No
"100,000 CAD",cinematics animator,senior,Vancouver,,,Male,
€2800 p/m ,Clean Animation ,Mid,Ireland,3,,Non Binary,
"42,000 CAD",Clean Up Artist,Senior,Montreal,3,,Female,No
"2,200 €",Clean Up Artist,Junior,Ireland,1 year and 7 months,,Female,No
20k €/y,Clean-up artist,Senior,Spain,6y,,Female,
$900 aud,cleanup anim,jr,australia,1,flying bark,,
55K CAD,Cloth and Fur Simulation ,Junior,Canada,3,,Non Binary,No
"£28,000",Co ordinator ,Mid ,Uk ,9 months ,,Female,No 
1460€ gross per month,Color Artist for paperless animation ,Junior,Italy,1,,Female,"No, it doesn’t exist in Italy"
$2175/wk,Color Designer,Mid-level,Los Angeles,5,Netflix,Male,TAG - IATSE Local 839
"$2,000/wk USD",Color Designer,Journeyman,remote in US for LA studio,2,,Female,IATSE 839
$1766.40/week,Color Designer,Junior,"Los Angeles, CA",2,Titmouse,Female,"Yes, TAG Local 839"
$1819/wk,Color designer ,Junior,LA,2,,Female,
$2650 USD (a week),Color Supervisor,Supervisor,Los Angeles,11,Cartoon Network,Female,TAG 839
88000.00,comp,,,5,,Female,
"62,000 cad",comp,junior,Vancouver,1,,Female,
90K CAD/year,Comp Artist,mid?,Montreal,5,,Female,No
"$90,000 CAD per year",Compositing Artist,Senior,Toronto,7,TV Studio,Female,No
"€2,200 p/m",Compositing Artist (After Effects),Junior,Kilkenny Ireland,1.5 years,Cartoon Saloon,Female,no
20 000€ yearly,Compositing artist 2D,Middle,France,5,,Female,No
"180€/day (before taxes), so roughly 3600€/month before taxes when I work full time time, which is not always the case ",Compositing Supervisor ,Senior,"Paris, France ",11 years ,,Male,No
"$55,000 USD",compositor,Jr,Los Angeles ,3,,Female,No
124900 CAD,Compositor,Senior,Vancouver,9,,Female,No
"£40,000",Compositor,Mid,UK,8,,Female,No
1500.00,Compositor,Junior,Spain,"1,5",,Female,
"€ 36,000",Compositor,Junior,Ireland,1,,Female,No
115 000$ cad,Compositor,Senior,Montréal,8,Sony Pictures Imageworks,Male,No
65000 AUD,Compositor,Mid,Australia ,2,,Female,No
5600 New Shekels,Compositor,Junior,Israel,1,Pill Animation,Male,No
"50,000 CAD",Compositor,Jr,Canada,1,,Male,No
65000.00,Compositor,Senior,London,10 years,,Female,No
"£65,000",Compositor,Mid-level,London,7,Industrial Light & Magic,Male,No
1400$CAN/week,Compositor,Lead/Senior,"Ottawa, Canada",5,,Female,
42.00 €,Compositor,Senior,Spain,9,,Male,No
€12.750 per year,Compositor,Junior,Spain,4 months (first job),,Male,No
40.000 Euro,Compositor,Lead,Ireland,11,,Female,No
1700/wk USD,compositor,mid,Los Angeles,6,DreamWorks,Female,TAG 839
26/hr CAD,Compositor,Junior,"Canada, Vancouver",<1,Ghost,Male,
"$62,000 CAD p/year (+/-$26 CAD p/hour) before taxes",Compositor,Key Artist (mid),Montreal,5,MPC Film,Female,No
100K CAD,Compositor,Senior,Toronto,44750,PIXOMONDO,,
"54,000 CAD",Compositor,Senior,Toronto,5,,Male,No
"£52,000 pa",Compositor,Upper Mid,"London, UK",5,,Male,No
"58,000 CAD",Compositor ,Junior,Toronto,4,,Female,No
33k annually CAD,Compositor ,Junior but also a supervisor ,Vancouver ,2,,Female,No
"£45,000 a year",Compositor ,Senior,London,8,,Female,No
140€/day,Compositor ,Junior,Ireland,2,,Male,
91k CAD,Compositor ,Junior,Montreal,2 years in comp and 3 in roto paint ,,Female,No
"900/week, 42300 CAD per year",Compositor (2D),Junior,Vancouver,3 Months (First Job),,Female,Yes ( Canadain Animation Guilde )
36000/yr,Compositor (commercials),Junior (on the verge to Mid),Germany,3,A Commercial VFX Company in Hamburg,Female,
18000€/ annual,Compositor & Testure Artist,Junior,Spain,"1,5",,Female,
$2300 Weekly,Compositor 2D,Mid level ,Los Angeles,5 years ,,Male,Yes
Around 30K €,Concept / Background artist,Middle,France,2,,Female,
85K,Concept Artist,Senior,Austin TX,8y6m,,Male,
33000Euro,Concept Artist,Mid,Europe,3 years,,Female,
$71k CAD,Concept Artist,Senior,Montreal,10+ mobile gaming,,Male,No
250€/day,Concept Artist,Junior,Paris,3,Freelance,Male,No
108k CDN,Concept Artist,Senior,Vancouver,15,,Male,No
17.000€/year after taxes (29k before),Concept Artist,regular,Bucharest (Romania),3,Ubisoft,Male,IWW
1004 usd per month,Concept artist ,Senior ,Russia ,5,,Female,There are no such thing as union in Russia :)
20 €/hour,Concept artist and 2D BG artist,Mid/senior,"Madrid, Spain",4,,Female,No
55 000 CAD,Concept Artist for mobile games,Mid level,Montréal,3-4 ish,K****,Female,No
IDR 4500000,Coordinator,Junior,"Jakarta, Indonesia",1,,Female,No
€3000/month (gross),coordinator,senior,ireland,6+,,Female,
"£23,400",Coordinator,Low Mid,UK,2,,Female,No
$58240 CAD + benefits,Coordinator,Mid,Vancouver,4,Digital Domain,Female,No
"60,008 USD",Coordinator ,Freshman,San Francisco,1,,Male,No
80K CAN,Creative Director,Senior,Toronto,10+,,Male,Not yet
"$100,000/y",Creative director/Motion Designer,Lead,Los Angeles,15,Self employed,Male,FUCKING UNFORTUNATELY NOT (doesn't exist)
"£32,500",Creative Manager - I run the creative department for a marketing agency ,Senior,Brighton UK,5,,Male,No
3500 euro a month,Creative producer,Senior,Netherlands,4,,Male,No
"£24,000",Creative Producer,Mid,London,4,,Male,No
"£37,411",Creative technologist /computational design,One of a kind,London,9 years,,Female,No
"80,000 CAD/year",Creature Animation,Senior,"Toronto, ON",18,Mr. X,Male,No
"26,000£",Creature FX TD,Junior,London,4 months,Framestore,Female,
"88,000 CAD",Creature Technical Director,Mid,Vancouver BC,4 years rigging experience,,Male,No
125€/day,Crowd Artist on Golaem,Junior,Paris,0,Fortiche,Female,
25000.00,Crreative Producer,Senior,UK,12,,Female,
£30k year,cutout animator,Senior,UK,8 y,,Female,no
"€ 30,600",Data I/O Coordinator ,Junior,Ireland ,2,,Male,No
R 26 000/month,Department Head,Senior,South Africa,13,,Female,No
70k CAD before tax,Design,Mid-level,Van,2,,Female,
75000.00,Design (2D),senior,Canada,12,,Female,
"57,200 CAD per year (1100 per week)",Design Generalist,Junior,"Vancouver, Canada",3,Wildbrain,Female,No
US $17.00/hr,Design Intern,Intern,New York,"1st year in the industry, Sophomore in College",Nickelodeon,Female,no
"€ 50,000",Design lead,Mid level,Dublin,5,Brown bag films ,Female,No
93000 CAD,Design Manager,Senior,Toronto ON Canada,11,,Female,No
95000 cad,Designer,Intermediate,Toronto,7,,Male,No
CAD1450/weekly,Designer,Senior,Vancouver ,5years,Brownbag Films,Female,Not sure
85800.00,designer,senior,Toronto,14,,Male,no
"70,000 CAD",Designer,Mid,"Calgary, AB",10+,Wildbrain,Male,no
"USD230,000",Designer,Group Creative Director,NY,15,,Male,No
32k,Designer,Mid level,Bristol,3,A productions,Other,No
70.00 per hour,Designer,Junior,New York City,30+,Freelance ,Male,No
65k Canadian,Designer,Mid,Ontario,5,,Female,
1250/week CAD,Designer ,Junior ,Vancouver,2,,Female,Nope
$450 day,Designer ,Mid,LA,4,,Female,No
"£20,000",designer ,Junior (even though I have 5 years experience) ,"Belfast, Northern Ireland ",5,,Female,No :( 
£23700 per annum,"Designer (I do backgrounds, props, and characters, on a 2D show for TV)",Junior/Mid,England,"Nearly 5 years in industry overall, 3 as animator, 2 as designer",A Productions,Female,No :(
50 - 70 USD/hr,Designer/ Vis Dev,Mid,Toronto - Remote,5 but 2 in design,Remotely - Freelance,Female,
"CAD$88,000",Development Manager,Mid Production,Vancouver,4,,Female,No
"£35,000",Development Producer,Mid,UK,5,,Female,No
73k CAD + full benefits,Development Producer,Mid,Montreal,5,,Female,
"$114,400 CAD",Digital Compositor ,Senior,Vancouver,10,Zoic Studios,Male,No
$77.25/hr,Director,n/a,"Burbank, CA",11,Nickelodeon,Male,"Yes, TAG 839"
"€ 79,000",Director,Senior,Ireland,14 years,,Female,No
$8000 US start to end of project,"Director, Animator",Senior-ish?,New York,10+,,Female,No.
115000 CAD,DMP / concept,senior,Montreal/toronto,10,Canada,Female,no
320000inr per year ,DMP/3DDMP,Junior,"Bangalore , india",9 months ,MPC,Male,No
250€/day ,Editor (+motion graphics),Senior,Spain (mostly remote work for UK),12,Freelancer,Female,No
"36,000 €",Enviroment Modeler,Senior,Spain,9,,Male,No
"50,000 pounds",environment,,UK,,,Male,
355000yen,environment /prop modeller,mid,tokyo,7 for in industry (4 for specially on modelling),,Female,no
80000/y CAD,Environment artist,Mid,Montréal,3,,Male,No
90K USD/Year,Environment Artist,Junior,Vancouver,1,,Female,No
92000 CAD yearly ,environment artist,Senior,Montreal ,6,MPC,Female,Not at the moment (was in Bectu in the UK)
80k/year,Environment Artist TD,Mid-Senior,Montreal,3 years,DNEG ,Male,Nope
95000CAD,Environment Generalist ,Mid-senior,Montreal,5,,Female,No
"£30,000",Environment Modeller,Mid,London,3,,Male,
62000.00,Environment TD,Senior,London,7,,Male,No
75000 CAD,Environments,Junior,Mtl ,2,,Female,
$2950/wk,Episodic Director,Journey,Los Angeles,9 years (2.5 directing),Dreamworks TV,Female,"Yes, TAG 839"
2200 cdn a week,Episodic Director ,Senior,Vancouver,10,,Female,No
4k usd / week,Episodic Director (2D TV),Journey,Los Angeles,10,Titmouse,Male,"Yes, TAG 839"
800 (EU),every role from concept to modeling to animation,junior,"Italy, Naples",3 years,,Female,No
187k CAD,Executive Creative Director,Senior,Toronto Canada,18,,Female,no
$3000 CAD/month (before tax),Fabricator (stop motion),Junior,"Vancouver, BC, Canada",2,,Female,No
"105,000 CAD",Facial Blendshape Artist,Senior,Vancouver,8,,Male,
"$61,500 CAD / year",Facial Motion Capture Animator,Lead,Vancouver,4,,Female,No
100k US $,feature stop motion animator,Plain ol’ animator,"Portland, Or",8 years,,Male,I wish
1800 a week ,Feature story artist,Entry level ,Remote,None before getting the job,Netflix,Male,No
"55,000 yr",Forensic Animator ,New hire,Pennsylvania ,5,,Male,
25000-30000 DKK a month,Freelance 2D animator,Junior,Denmark,3 years,,Male,No
$23/ hr,Freelance 2D Animator,Freelance,Atlanta,1,,Female,WIA
18000 € gross per year circa,Freelance 2D Animator and Storyboard artist,Mid animator - Junior story artist,Italy,3,,Female,No
£310/day UK $550/day US £59000/yr apx,Freelance 2D Cel Animator,Senior,UK (not london),8,Self - Employed,Male,No
less than 1k usd/month,freelance 2d/trad animator ,entry,chicago,3,,Non Binary,
2400euros/month,freelance 3D animator,Mid,Italy,3 years,,Female,
$700/day USD,Freelance 3D Animator & Previs,Senior,"Chicago, IL USA",8,Freelance,Male,
350GBP/day,Freelance 3D Character animator,Senior,London,11,Freelance (multiple companies),Female,Not anymore
125k USD,Freelance 3D Motion Designer,Mid,"Montreal, Canada",4 years,Freelance,Male,No
"31,000 DKK PM",Freelance Animator,Junior / Mid,Denmark,2,,Female,No
"$62.50 hr / $2,500.00 wk",Freelance Background Designer,Journeyman?,"Burbank, CA, USA",2,Netflix,Female,"Yes, IASTE 839"
$50/hr,Freelance CG Artist and Lighter,Mid level,Los Angeles ,5,,Female,No
$75/hr USD,Freelance CG Lighter/Generalist,Mid,NYC,6,,Non Binary,No
95k Euros,Freelance Concept Artist / VisDev Artist,Senior,"France, US Clients",10,"Illumination, Netflix",Male,No
~$400/mo,Freelance Graphic Designer/Creative Consultant,None,"Pasadena, CA",1,A youtube channel,Male,No
$45-65 an hour,Freelance Motion Designer,Professional,Virginia,3,,Female,No
"$140,000 a year",Freelance motion designer/animator,Senior,Los angeles,5+,Self emploed,Female,Nope
€250/day,Freelance Storyboard artist,Junior,Netherlands,<1 year,For TV Series,Female,No
€425/day,Freelance Storyboard Artist,Junior? But I was the only storyboard artist in the project,Netherlands,<1 year,Internet of Elephants,Female,No
$56k,Full Time Lecturer - Media Arts,Mid,Tennessee,5+,,Male,
85000$CAD / year,FX,Mid,Montreal Canada,2,MPC,Female,no
$53 /hr USD,FX Animator,Mid,Los Angeles,3,,Male,Yes. Animation guild 
"£28,000/year (GBP) ",FX Artist,Junior,London,1,,Female,No
126000 CAD yearly,FX artist,Senior,Vancouver,9yrs,,Male,No
$650- 750 / day ,Fx Artist,Senior,Chicago,14,,Male,no
"62,000 yearly CAD",FX artist,Junior,Vancouver ,2,,Female,
73000 CAD / year,FX Artist,Junior ,Vancouver ,2,,Male,Nope
6600000 IDR/month,FX artist,Mid,"Jakarta, indonesia",3,Lumine Studio,Male,No
70000 CAD,FX Artist,Junior,Toronto,1 as FX Artist (but 9 as Generalist,,Female,
72000 CAD,FX Artist,Mid,Montreal,5,MPC,Male,No
"54,600 CAD",FX artist,Junior,Ottawa,2,,Female,No
70k CAD,FX Artist,Mid,Montréal ,5,Dneg,Female,No
USD $350 / day,FX Artist,Junior,New York City,>1,,Female,no
87500$CAD,FX Artist,Senior,Montreal,12,,Male,No
150k CAD,FX Artist,Senior,Vancouver,12,Sony,Male,No
33000.00,FX Artist ,Junior ,"Kilkenny, Ireland ",1,Lighthouse Studio ,Male,No
64000 CAD,FX Artist (Houdini),Mid,Vancouver,6,,Non Binary,no
"23,000 pounds",fx artist tv,,London,1,,Female,
"56,000 cad",fx artist tv,,Vancouver,3,,,
"52,000 cad",FX designer,junior,vancouver,0,Mainframe,Female,no
120000.00,FX Lead,Lead,Montreal,17,MPC,Male,No
79kCAD,FX Supervisor,Supervisor,"Ottawa, Canada",6,,Female,
CAD$ 73 / hour ,FX TD,Senior,Vancouver,10,Sony,Male,No
75k GBP,FX TD,Senior,"Was London, now remoting from southern Europe. ",6,"Freelance, over the last year Electric Theatre, Untold, Passion Pictures. ",Male,"No, but I should join the UK one. "
55k GBP,FX TD,High Mid,London,4,Cinesite,Male,No
110000Cad/year,FX TD,Senior,Montreal,4,,Male,
"£39,000 yearly",FX TD,Mid,London,3,,Male,No
"CAD $55,000",FX TFD,junior,Montreal,>1,DNEG,Female,
$25hr,Game Animator,Junior,"Los Angeles, CA",0,,Male,No
105k,Game Artist,Senior,SF,8,,Female,No
$425/day CAD,Gameplay Animator,Mid,Remote,6,,Male,No
"55,000 CAD",gameplay animator,,Canada,2,,Female,
90000 cad,Gameplay animator,Senior,Montreal,6,,Male,Nope
38000 sek,Gameplay animator ,Mid ,"Malmo, Sweden ",5,Ubisoft ,Male,No
104000.00,Gameplay Producer,,,,Riot Games,,
160000.00,Games animator,senior,Vancouver,,,,
140000.00,games animator,senior,LA,7,,Male,
100000.00,games animator,senior,California,10,sony games,Female,
120000.00,generalist,,LA,2,,,
"26,000 GBP ",Generalist,Mid,N.Ireland,5,,Male,no
55k cad,"generalist, mostly light texture and mideling",Junior-mid,Montréal Canada ,4,,Female,Nope
"37,000USD",Graphic Designer,Junior,Grand Rapids,5,Baker Publishing Group,,
65K USD,Graphic Designer,Senior,California ,9,,Female,No
"£38,000",Graphic designer,Senior,London UK,4,,Female,No
"17,000 €",Graphic designer,Junior/senior ,Oviedo (Spain),4,,Female,NO :(
15/hour,Graphic Designer,Senior,Miami,6,,Female,No
"1,950 €",graphic desinger,mid,Netherlands,10,,Male,
340 $,graphics designer,junior,Iraq,2 years ,a sanitary industry company,Male,no
80.000 CAD,Groom Artist,Mid,Toronto,4,MPC,Male,no
95cad,Groom artist,Mid,Vancouver,2,,Male,
230£/day,Groom Artist,Mid,London,4,,Female,No
114 000 CAD per year,Groomer,Senior,Vancouver,10,,Female,No
45000.00,Hard Surface Artist,Senior,UK,6,Creative assembly,Male,No
53 040$/year CAD,Harmony animator,Mid,Montréal,7,,Female,No
1200CAD /week,Harmony animator,Senior,Vancouver ,10,Atomic,Male,No
55k CAD,Harmony Builds Artist,Senior,Vancouver,5,Atomic,Female,No
"2,600 euros a month",Harmony Scene Prep,Mid,Ireland,2,,Female,Nope
150k CAD,Head of Deparment,Senior,Montreal,22,,Male,No
250000 CAD,Head of department ,Senior,Vancouver,15,,Male,No
Dayrate is $360 AUD,Head of Design for 2D animated show,Middle,"Melbourne, Australia",7,,Female,Haha NO
"$3,500 USD/wk (45 hours)",Head of Story,Senior,California,16,,Female,TAG 839
185000€ / year,Head of Story,Senior,Paris,6,Walt Disney Animation Studios,Female,No
$1125/week,Head of Story,Senior,Montreal,4,,Non Binary,No
I charge ?3500/hr or ?18000/day (6 work hours),"I can do everything from script to screen for 2D & 3D production: Pre-Production (Story/Script development, Concept/Location/Character/Prop Design, Storyboard, BG/Character Layout, Character/Prop/BG Modelling & Surfacing/Texturing, 2D & 3D Rigging); Production (Scene Setup, 2D & 3D Animation, Dynamics, Hair/Cloth/Fur, Fluids & Particles); Post-Production (Compositing, Online/Offline Editing, Colour Grading)","Lead, Senior, Supervisor, Director",India,16+,,Male,No
4.00,I created the Simpsons ,the boss ,homer,Pay me $500 and I put you in the simpsons,,Non Binary,
No more than 45 dollars,Illustrator ,Junior,Mexico,None,,Female,No
€500 dayrate,Illustrator & motion designer,Medior,Belgium,4 years,Freelance,Female,
4.3 JPY (32k USD),In game animator,mid,Japan,6,,Male,
"6,000 €",Indépendant Art Director ,Mid ,France ,4,,Male,
25000€ gross annual,Java Backend Developer,Junior,Italy,2,Keybiz Srl,Male,no
"£25,500",JNR VFX artist,Junior,London,0,Technicolour,Non Binary,No
17.00,Jr Silicone Caster,Junior,"Portland, Oregon",1,LAIKA,Female,No
"US$ 70,000 per year +overtime",Jr. Motion Designer,Junior,Los Angeles,1,Movie Trailer Agency,Female,no
$20/hr ($800/wk),Jr. Visual Development Artist,Junior,"San Francisco Bay Area, California USA",<1,,Female,No
R12 000 a month before tax,Junior lighting and rendering artist ,Junior ,Cape Town,First year working ,,Female,No
72000/y cad$,Key Artist Environment,Mid,Montreal,3,MPC,Male,
66.5k year CAN,Key Layout Artist,Senior,Canada,Almost 6 years,,Male,
"66,000 cad",layout,mid,Montreal,,technicolor,Female,
"32,000 €",Layout, Mid,"Madrid, Spain.",44624,Skydance Animation,Male,No
145000.00,Layout ,Senior ,San Francisco ,20,,Male,no 
85k cad,Layout Artist,Senior,Montreal,5,,Female,
45 000 CAD,Layout Artist,Junior,Montréal,1,MPC,Female,No
57200.00,Layout Artist,Junior,"Toronto,Canada",Less than one year,Brown Bag,Female,No
46800 CAD,Layout Artist,Junior,"Ontario, Canada",1 Year,Jam Filled,Female,No
33.00 €,Layout artist,mid,Ireland,2 and a half,Lighthouse studios,Female,
"2,800 €",Layout Artist,Experienced,"Kilkenny, Ireland",2,Lighthouse Studios,Male,No
1150/wk CAD,Layout Artist,Mid,Toronto,3,Yowza! Animation,Female,No
75 000$/year CAD,Layout artist,Mid,Montreal ,5,,Female,
95K CAD,Layout Artist,Senior,Montréal,7,ScanlineVFX,Male,No
39K,Layout Artist,Mid,London,2,MPC,Female,No
$1000/ week ,layout artist ,Junior,Toronto ,0-1,Brown bag films ,Female,No
2600/month Euros - 31200/ year Euros,Layout Artist ,Mid level,Ireland,6,Lighthouse Studios ,Female,No
CAD $32/hr ~50K/yr,Layout Artist - Game Dev,Mid,Vancouver,4-5 years,,Male,No
56000 cad,Layout designer (2d),Junior,Vancouver,2,Titmouse,Female,Yes
"$81,900 Cad",Layout lead artist,Senior ,Vancouver,6 years,Vancouver studio,Female,No
4000EUR/Month (Gross),Layout Supervisor,Senior,"Kilkenny, Ireland",9,,Male,No
"4,000/week",Layout Supervisor,Senior,Los Angeles,11,WDAS,Male,Tag 839
60000.00,Layout TD,Mid,Montreal,3,,Male,No
Euro 50000,Layout Tech Lead,Lead,Madrid,13,,Male,
CAD 85000,Layout/Previs Artist,Mid,Toronto,5,,Male,no
1400/week CAD,Lead 2d animator,Senior,Vancouver,5,Wildbrain,Male,No
"137,000 USD",Lead 2D Animator ,Senior,New York city,12,Peloton,Female,no
"51,500 €",Lead 2D Designer,Senior,Dublin,7,Brown Bag,Male,no
170000 USD,Lead 3D Animator,MID,Los Angeles,6,,Male,No thanks
"24k € gross / 20,6k € net a year",Lead 3D Animator,Lead,"Warsaw, Poland",2,,Male,No
"£34,000",Lead 3D Animator,Lead,London-based remote work,7,,Female,No
13000 PLN / month,Lead 3D Animator,Lead,"Warsaw, Poland",11,,Male,
15448.33 USD per annum,Lead 3D Generalist,Senior,"Mumbai, India",12,,Male,No
CAD 87.000,Lead Animator,Lead,Vancouver,7,ICON CREATIVE STUDIO,Male,No
75000 CAD,Lead animator,-,Vancouver ,6,Mainframe ,Female,
€3600 /month,Lead Animator,Senior,Ireland,14,,Male,
"90,000 CAD",Lead Animator,Mid,Montreal,5,,Female,No
97000 CAD per year,Lead Animator,Senior,Montreal,11,,Female,no
80000 CAD per year,Lead Animator,Senior,Vancouver,9,Mainframe Studios,Male,no
115000 CAD / year,Lead Animator,Mid,Montreal,5,,Male,no
"135,000 CDN",Lead Animator,Lead,Vancouver,12,,Male,No
62K (euros),lead animator,senior,Paris (France),18,illumination,Male,no 
137000.00,Lead Animator,Supervisor,Los Angeles,15,,Male,No
1650 per week,Lead animator - TV,Senior/Lead,Vancouver,6.5 years,,Male,
Around 4k€/month,Lead annimator,16 years in this role,"Paris, France",25 years experience,Illumination Mac Guff,Male,"No, and I definitely should be."
"£35,000",Lead Background Artist,Senior,"Brighton, UK",6,Blue Zoo,Female,Not sure
33000 euro  year,Lead background artist ,Lead,Dublin,8,,Female,No
130 000 $ per year,lead character designer,senior,Los Angeles,15,nickelodeon,Male,TAG
36000 euro/year,lead compositor,senior,Ireland,5,,Male,no
97.00,Lead Environment Artist,Lead,Montreal,7,,Male,
97k CAD,Lead Groom,Senior ,Montréal ,10,,Female,
77000 GBP,Lead Lighter,Senior,London/remote,13,MPC,Male,No
$49.26/hour,Lead Look Development Artist,Lead,Los Angeles,5,Nickelodeon,Male,Yes
107k cad/year,Lead modelling,Senior,Montréal,10,Framestore,Male,No
GBP 65000 PA,Lead Pipeline TD,Lead,"Spain, remote for UK",7,,Male,No
67/hr 140k Year USD,Lead Prop Designer,Senior,Los Angeles,7,Prefer not to Answer,Male,TAG 839
1850$/week CAD,Lead Set Designer,Senior,Vancouver,8,Mainframe Entertainment,Male,Nope
SGD3400,Lead Storyboard Artist,Lead,Singapore,5,Omens Studios,Female,No.
100K CAD = 69K after tax,Lead Texture,Lead,Montreal,8,VFX company,Female,no
"85,000 CAD",Lead Texture/ Surfacing Aritst,Lead,Vancouver,4,,Female,
$47500 CAD,Light/Comp Artist,Junior,"Alberta, Canada",0,,Female,
"60,000 cad",light/comp artist,junior,montreal,3,,Female,no
$108K CAD,Lighter,Senior,MTL,7,,Male,I WISH
64k cad,Lighter,Middle,Montreal,4,Mikros,Female,No
75000.00,lighter,,,2,,Male,
"62,000 CAD$",Lighter and compositor,Not specified (mid?),Vancouver,4,Wildbraon,Female,
"50,000 AUD",lighting,,Sydney,1,,Female,
50000.00,lighting,junior,,1,,,
72000 cad annual,Lighting,Lead,Toronto,6 yrs,,Female,No
85000.00,lighting,Mid,Montreal,44656,,Female,No
"70,000 CAD",Lighting / Compositing Artist,Mid ,Vancouver,1 year,Bardel Entertainment,Female,No
"2000 € / month, 12 pays",lighting & comp,junior,spain,3,skydance animation,Male,no
120000.00,Lighting & Comp Sup,Supervisor,Los Angeles,9,Dreamworks,Female,Yes
"$72,800  CAD",lighting and comp artist,mid,Vancouver ,4,,Female,no
135200.00,Lighting and Compositing,Supervisor,Los Angeles,6,,Male,TAG 839
2100 Euro,Lighting and Compositing Artist,Mid-Senior,Hungary,15,Digic Pictures,Other,No
(ZAR) R12 000 p/m  ,Lighting and Rending ,Junior,"Cape Town, South Africa",1,,Female,Nope
"38,000£",Lighting Artist,Junior,UK,1,,Female,
"$72,400 USD",Lighting Artist,Junior/Mid,LA,<1,,Male,No
120€/day,Lighting artist,Junior,France,"1,5 year",,Female,
"$105,000 CAD",Lighting Artist,Senior,Montreal,10+,,Male,no
58 000 CAD per year,Lighting Artist,Mid,Montréal ,2.5 years ,Folks VFX,Male,No
73600 ?/ annually Gross,Lighting Artist,Senior,Berlin,10,,Male,no 
"£26,000",Lighting Artist,Junior,London,0,MPC Episodic,Female,No
300000 yen,Lighting artist,Mid,Japan,3,Sola Digital Arts,Male,Nope
CAD 93000,Lighting Artist,Mid,Montreal,3,VFX,Male,NO
"$29 per hour CAD - $60,320 annually ",Lighting Artist ,Mid,Vancouver ,3,DNEG,Female,No
940000 CAD ,Lighting Artist ,Mid,VANCOUVER,10,Method ,Male,No 
$55/hr CAD,Lighting lead,Senior,Vancouver,7,Wildbrain,Male,No
$49/hour CAD,Lighting Lead,Senior ,Montreal,7,,Male,No
75K,Lighting TD,MID,Montreal ,3 years,,Male,
$55 USD per hour,Lighting TD,Mid Tier,Los Angeles,5,,Female,No
"$93,600 CAD",Lighting TD,Senior,Vancouver,6,,Female,No
"CAD 77,000",Lighting TD,Mid,Toronto,5,,Female,No
"45,000£",Lighting TD,Mid,London,5,,Male,No
700.00,Lighting TD,Senior,Turkey,8,?maj,Male,No
£40 K per annum,Lighting TD,Mid,London,6,Framestore ,Female,No
65000 GBP,Lighting TD,Senior,London,5,Framestore ,Male,No
"£75,000 GBP",Lighting TD,Lead,London,5,,Male,No
"42,000 GBP",Lighting TD,Mid,UK,5,DNEG,Male,No
"£38,000 / year",Lighting TD,Medium,London,2 years and 7 months,Framestore,Female,No
"£46,000/year",Lighting TD,Mid/Senior,London,5,,Female,No
"97,000 USD / Annual",Lighting/Comp,Mid/Senior ,LA,4,Nickelodeon ,Male,TAG
"97,000 USD / Annual",Lighting/Comp,Mid/Senior ,LA,4,Nickelodeon ,Male,TAG
58 CAD/hr,lighting/comp,senior,mtl,12,,Female,
43K CAD,Lighting/comp artist,Junior,Vancouver,Less than a year,,Female,
"80,000 CAD",Lighting/Compositing Artist,Mid,Vancouver BC,6,Atomic,Female,No
C$120000/p.a.,Lighting/LookDev ,Senior & Lead,Vancouver,6,Digital Domain,Male,No
"30,000 mxn",Line Producer,Senior,Mexico,8 years,,Male,NO
"30,000mxn monthly",Line Producer,Sr,Mexico,8,,Male,NO
